Код;Торговая марка;Номер производителя;Наименование;Ост, не менее, шт.;Цена, руб.;ОЕМ;Кратность отгрузки;Штрихкод
131305;AVANTECH;AB0035;Лампа головного света Avantech H11 12V 80W;100;305,7;90981-AD001 / 90981-AF004;1;4680261041002
131306;AVANTECH;AB0036;Лампа головного света Avantech H10 12V 42W;50;236,11;;1;4680261041019
131307;AVANTECH;AB0037;Лампа головного света Avantech H12 12V 53W;100;288;;1;4680261041026
131308;AVANTECH;AB0038;Лампа головного света Avantech H13 12V 60/55W;50;340;;1;4680261041033
131309;AVANTECH;AB0039;Лампа головного света Avantech H16 12V 19W;20;280,99;90981-13090;1;4680261041040
131299;AVANTECH;AB0040;Лампа головного света Avantech H27/2 12V 27W (881 Series);50;157,41;;1;4680261040944
161003;AVANTECH;AB0043;Лампа головного света Avantech H11 12V 55W Long Life;100;368,8;26296-89946 / 262968990A /9004951170000 / 9098113075 / MS820976 / V91192057/90981-13085/N000000 001606/26296-5Z000/26296-89947/26296-9B92B/AY080-10026/B6296-89947/KE260-89110/N 105 297 01/6216.A3/ 7701 049 263 / 47 09 054 / 90981-13081/ 90981-YZZAK/26296-AU301/6216.A3/4113066/2C5Z-13N021-AA/33165SMGE01HE /33165-SMG-E01/33165SAA003/33165-S5A-003/18649-55009H/907037550/9970LLH11/989838 / 90981-13082 / 90981-AD001 / 90981-AF004;1;4680261048124
161004;AVANTECH;AB0044;Лампа головного света Avantech H16 12V 19W Long Life;100;384,41;90981-13090/90981-YZZAN/ 90981-WD016;1;4680261048131
1719891;AVANTECH;AB0045;Лампа головного света Avantech H18 12V 65W;100;182,77;98387-22980 / 5 535 123 / GN1A-13009-AA;1;4680261048148
1719892;AVANTECH;AB0046;Лампа головного света Avantech H19 12V 60/55W;5;193,83;8450106959;1;4680261048155
